run_id	train_energy	valid_energy	test_energy	total_energy	v_map@5	v_ndcg@5	v_prec@5	v_recall@5	v_map@10	v_ndcg@10	v_prec@10	v_recall@10	v_map@20	v_ndcg@20	v_prec@20	v_recall@20	v_map@50	v_ndcg@50	v_prec@50	v_recall@50	t_map@5	t_ndcg@5	t_prec@5	t_recall@5	t_map@10	t_ndcg@10	t_prec@10	t_recall@10	t_map@20	t_ndcg@20	t_prec@20	t_recall@20	t_map@50	t_ndcg@50	t_prec@50	t_recall@50
LATTICE-sports(883, 0.01, 3, 20, I)	0.40214826128596015	1.1828414495770718	1.1090958699507778	2.6940855808138098	0.0206	0.0254	0.0085	0.0382	0.0236	0.0331	0.0069	0.0618	0.0263	0.0414	0.0050	0.0941	0.0281	0.0527	0.0032	0.1505	0.0206	0.0254	0.0085	0.0382	0.0236	0.0331	0.0069	0.0618	0.0258	0.0412	0.0052	0.0929	0.0277	0.0532	0.0034	0.1517
LATTICE-sports(883, 0.1, 3, 10, I)	0.3372439637125843	0.8986782731324274	0.8987962813381949	2.134718518183207	0.0153	0.0193	0.0067	0.0298	0.0178	0.0257	0.0055	0.0491	0.0197	0.0326	0.0041	0.0780	0.0214	0.0434	0.0028	0.1319	0.0153	0.0193	0.0067	0.0298	0.0178	0.0257	0.0055	0.0491	0.0198	0.0329	0.0043	0.0773	0.0216	0.0445	0.0030	0.1343
LATTICE-sports(883, 0.1, 3, 20, I)	0.7204950588512538	1.8882296888187684	1.8882678707062144	4.496992618376237	0.0169	0.0212	0.0072	0.0325	0.0195	0.0278	0.0059	0.0526	0.0216	0.0351	0.0044	0.0824	0.0233	0.0461	0.0029	0.1376	0.0169	0.0212	0.0072	0.0325	0.0195	0.0278	0.0059	0.0526	0.0216	0.0355	0.0046	0.0823	0.0235	0.0474	0.0032	0.1412
LATTICE-sports(883, 0.001, 2, 10, T)	0.17249682251367393	0.5352688274786236	0.46226119638640417	1.1700268463787018	0.0212	0.0264	0.0088	0.0402	0.0241	0.0336	0.0069	0.0621	0.0269	0.0423	0.0051	0.0960	0.0287	0.0539	0.0033	0.1541	0.0212	0.0264	0.0088	0.0402	0.0241	0.0336	0.0069	0.0621	0.0263	0.0417	0.0052	0.0938	0.0283	0.0543	0.0035	0.1557
LATTICE-sports(883, 0.001, 2, 20, T)	0.19265592883413424	0.4353907394958675	0.4348855714721228	1.0629322398021244	0.0199	0.0248	0.0083	0.0376	0.0228	0.0321	0.0067	0.0598	0.0257	0.0407	0.0049	0.0932	0.0275	0.0520	0.0032	0.1499	0.0199	0.0248	0.0083	0.0376	0.0228	0.0321	0.0067	0.0598	0.0250	0.0403	0.0051	0.0916	0.0269	0.0524	0.0034	0.1515
LATTICE-sports(883, 0.01, 2, 10, T)	0.2514660872743226	0.719012273842556	0.5727841009985473	1.5432624621154258	0.0216	0.0268	0.0089	0.0403	0.0249	0.0348	0.0072	0.0646	0.0275	0.0434	0.0052	0.0991	0.0294	0.0555	0.0034	0.1594	0.0216	0.0268	0.0089	0.0403	0.0249	0.0348	0.0072	0.0646	0.0272	0.0436	0.0055	0.0989	0.0292	0.0562	0.0036	0.1610
LATTICE-sports(883, 0.1, 2, 20, T)	0.528893139814518	2.275981438987058	2.20232962437568	5.007204203177256	0.0171	0.0211	0.0071	0.0316	0.0194	0.0270	0.0056	0.0496	0.0212	0.0344	0.0043	0.0808	0.0229	0.0453	0.0029	0.1353	0.0171	0.0211	0.0071	0.0316	0.0194	0.0270	0.0056	0.0496	0.0215	0.0349	0.0045	0.0802	0.0233	0.0467	0.0031	0.1385
LATTICE-sports(883, 0.001, 3, 10, T)	0.19781656933058217	0.4772331245913733	0.6950653829415223	1.3701150768634778	0.0207	0.0258	0.0087	0.0391	0.0236	0.0329	0.0068	0.0608	0.0268	0.0418	0.0050	0.0947	0.0285	0.0532	0.0032	0.1515	0.0207	0.0258	0.0087	0.0391	0.0236	0.0329	0.0068	0.0608	0.0257	0.0410	0.0052	0.0923	0.0277	0.0534	0.0034	0.1535
LATTICE-sports(883, 0.001, 3, 20, T)	0.21029509764704507	0.4299159126202101	0.5757512391667082	1.2159622494339635	0.0197	0.0244	0.0081	0.0365	0.0224	0.0310	0.0063	0.0568	0.0249	0.0397	0.0048	0.0915	0.0267	0.0508	0.0031	0.1472	0.0197	0.0244	0.0081	0.0365	0.0224	0.0310	0.0063	0.0568	0.0245	0.0390	0.0049	0.0879	0.0265	0.0513	0.0033	0.1484
LATTICE-sports(883, 0.01, 3, 10, T)	0.44277676595140236	1.2013679334088376	1.2014011071464346	2.8455458065066743	0.0226	0.0279	0.0093	0.0418	0.0257	0.0356	0.0073	0.0656	0.0279	0.0438	0.0053	0.0994	0.0298	0.0557	0.0034	0.1591	0.0226	0.0279	0.0093	0.0418	0.0257	0.0356	0.0073	0.0656	0.0280	0.0444	0.0056	0.0996	0.0299	0.0566	0.0036	0.1594
LATTICE-sports(883, 0.01, 3, 20, T)	0.5101989866731018	1.18508271762685	1.474982346674641	3.170264050974593	0.0219	0.0269	0.0089	0.0398	0.0251	0.0349	0.0072	0.0643	0.0276	0.0435	0.0052	0.0989	0.0295	0.0553	0.0034	0.1584	0.0219	0.0269	0.0089	0.0398	0.0251	0.0349	0.0072	0.0643	0.0274	0.0437	0.0055	0.0982	0.0294	0.0561	0.0036	0.1592
LATTICE-sports(883, 0.1, 3, 10, T)	0.7165694088461518	2.0525193690521357	1.698778109663716	4.467866887562003	0.0162	0.0204	0.0070	0.0314	0.0187	0.0267	0.0057	0.0505	0.0204	0.0338	0.0043	0.0812	0.0221	0.0449	0.0029	0.1367	0.0162	0.0204	0.0070	0.0314	0.0187	0.0267	0.0057	0.0505	0.0209	0.0348	0.0046	0.0819	0.0227	0.0468	0.0032	0.1409
